"Demographic data (total population, age groups and race/ethnicity) by census tract were extracted from the 2018 American Community Survey.",,,,,,,,,,,,,,,
Census Tract , DRAFT CES 4.0 Score,DRAFT CES 4.0 Percentile,"DRAFT CES 4.0 
Percentile Range",2018 Total Population,"California 
County",Children < 10 years (%) ,Pop 10-64 years (%),Elderly > 65 years (%),Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Pacific Islander (%),Other/Multiple (%)
6037239201,73.02,99.48,95-100% (highest scores),3913,Los Angeles,17.4,77.6,5.0,79.0,0.7,19.9,0.1,0.0,0.0,0.4
6037434004,73.02,99.47,95-100% (highest scores),2948,Los Angeles,12.6,78.7,8.7,92.9,1.6,0.0,0.0,5.4,0.0,0.0
6019000300,72.77,99.46,95-100% (highest scores),3936,Fresno ,21.1,67.5,11.5,63.3,7.9,21.5,0.2,3.3,0.6,3.2
6037433101,72.25,99.45,95-100% (highest scores),2360,Los Angeles,7.5,72.1,20.3,50.6,1.7,0.0,0.2,47.0,0.0,0.4
6037542401,72.08,99.43,95-100% (highest scores),4630,Los Angeles,13.3,76.7,10.0,63.8,0.7,31.6,0.0,1.4,0.0,2.5
6037542200,71.87,99.42,95-100% (highest scores),7539,Los Angeles,18.1,73.8,8.0,75.1,0.9,22.7,0.0,0.0,0.0,1.4
6037534201,71.81,99.41,95-100% (highest scores),4785,Los Angeles,21.7,70.7,7.6,95.1,3.4,0.8,0.3,0.3,0.0,0.1
6077000801,71.79,99.39,95-100% (highest scores),7352,San Joaquin,20.2,73.8,6.0,67.7,5.3,5.4,0.0,14.7,1.2,5.6
6037242600,71.70,99.38,95-100% (highest scores),4745,Los Angeles,21.3,74.5,4.3,68.2,0.1,29.9,0.0,0.0,0.0,1.8
6037531301,71.56,99.37,95-100% (highest scores),4972,Los Angeles,14.7,74.2,11.1,97.6,1.3,0.2,0.0,0.8,0.0,0.1
6099003700,71.44,99.36,95-100% (highest scores),4874,Stanislaus ,15.4,73.7,10.9,53.4,41.9,1.1,0.2,2.9,0.0,0.4
6019006802,71.34,99.34,95-100% (highest scores),3283,Fresno ,11.3,73.9,14.8,87.2,10.2,0.3,0.0,0.5,0.0,1.8
6037570203,71.00,99.33,95-100% (highest scores),4071,Los Angeles,18.8,75.1,6.1,72.0,3.0,21.5,0.0,2.0,1.0,0.5
6065030400,70.97,99.32,95-100% (highest scores),6321,Riverside ,17.0,72.5,10.5,81.2,10.1,6.0,0.2,1.6,0.3,0.6
6037534302,70.79,99.31,95-100% (highest scores),3576,Los Angeles,15.9,78.4,5.7,96.4,1.5,1.5,0.2,0.4,0.0,0.0
6037532603,70.50,99.29,95-100% (highest scores),3137,Los Angeles,18.5,75.7,5.8,97.5,1.1,1.4,0.0,0.0,0.0,0.0
6019007100,70.41,99.28,95-100% (highest scores),7780,Fresno ,18.8,72.5,8.7,89.7,6.8,0.3,0.3,2.6,0.0,0.3
6037127400,70.40,99.27,95-100% (highest scores),6673,Los Angeles,16.4,78.2,5.3,75.8,13.9,2.0,0.0,6.3,0.0,2.0
6019000901,70.33,99.26,95-100% (highest scores),3087,Fresno ,17.8,77.8,4.4,59.2,1.3,21.7,0.0,10.3,0.0,7.4
6037534301,70.30,99.24,95-100% (highest scores),4395,Los Angeles,16.0,75.7,8.2,94.9,3.0,0.0,0.0,1.3,0.0,0.8
6037572800,70.30,99.23,95-100% (highest scores),917,Los Angeles,7.1,85.4,7.5,25.2,22.4,32.9,0.0,7.2,0.8,11.6
6037433801,70.14,99.22,95-100% (highest scores),6513,Los Angeles,19.1,71.7,9.2,91.2,1.4,0.2,0.0,7.1,0.0,0.0
6029004402,70.08,99.21,95-100% (highest scores),4856,Kern ,21.1,70.8,8.1,94.2,2.7,2.6,0.2,0.2,0.0,0.0
6019001500,70.03,99.19,95-100% (highest scores),2475,Fresno ,18.1,69.1,12.7,75.5,21.9,1.0,0.0,1.5,0.0,0.2
6037540400,69.98,99.18,95-100% (highest scores),2687,Los Angeles,16.2,79.6,4.3,82.0,0.0,18.0,0.0,0.0,0.0,0.0
6037104703,69.81,99.17,95-100% (highest scores),2311,Los Angeles,21.2,71.6,7.3,90.9,3.4,5.1,0.6,0.0,0.0,0.0
6071000301,69.70,99.16,95-100% (highest scores),9327,San Bernardino,19.0,74.1,6.9,78.3,3.7,3.3,0.0,12.7,0.0,1.9
6037228900,69.62,99.14,95-100% (highest scores),2650,Los Angeles,16.6,76.8,6.6,86.4,0.0,13.4,0.0,0.2,0.0,0.0
6037570301,69.57,99.13,95-100% (highest scores),7585,Los Angeles,15.6,79.1,5.4,67.9,6.7,11.9,0.0,7.9,2.1,3.6
6037203500,69.44,99.12,95-100% (highest scores),2984,Los Angeles,13.9,73.7,12.3,78.3,6.4,0.3,0.0,14.8,0.2,0.0
6019002000,69.42,99.10,95-100% (highest scores),6607,Fresno ,23.1,69.4,7.5,61.2,16.1,11.0,0.8,7.6,0.0,3.3
6037239501,69.40,99.09,95-100% (highest scores),3622,Los Angeles,17.5,74.4,8.1,76.4,2.3,20.8,0.0,0.2,0.0,0.3
6037572301,69.37,99.08,95-100% (highest scores),4118,Los Angeles,15.1,77.9,7.0,62.9,5.9,6.8,0.0,20.2,0.6,3.8
6099002100,69.35,99.07,95-100% (highest scores),3084,Stanislaus ,17.8,76.3,5.9,71.9,22.9,3.0,1.6,0.5,0.0,0.2
6019001301,69.28,99.05,95-100% (highest scores),5327,Fresno ,17.5,72.7,9.8,85.3,3.7,0.5,0.6,9.9,0.0,0.1
6073005000,69.27,99.04,95-100% (highest scores),2360,San Diego,16.8,75.0,8.2,85.3,8.8,4.9,0.0,0.9,0.0,0.0
6037540000,69.21,99.03,95-100% (highest scores),7231,Los Angeles,14.2,77.3,8.5,94.5,1.6,2.9,0.0,0.8,0.0,0.2
6037532304,69.14,99.02,95-100% (highest scores),4176,Los Angeles,9.6,80.1,10.4,83.9,3.1,8.9,3.1,0.3,0.0,0.7
6037242700,69.02,99.00,95-100% (highest scores),5945,Los Angeles,18.6,76.4,5.0,77.9,1.0,20.1,0.0,0.9,0.0,0.2
6037239702,68.97,98.99,95-100% (highest scores),4096,Los Angeles,12.1,82.2,5.7,69.3,0.3,30.4,0.0,0.0,0.0,0.0
6037530700,68.78,98.98,95-100% (highest scores),2354,Los Angeles,9.6,78.8,11.6,96.0,2.1,0.0,0.0,1.7,0.0,0.2
6019000800,68.78,98.97,95-100% (highest scores),1254,Fresno ,20.4,65.1,14.5,67.0,11.4,6.2,0.6,14.8,0.0,0.0
6037302401,68.73,98.95,95-100% (highest scores),6734,Los Angeles,11.0,74.4,14.6,28.2,53.5,3.1,0.0,15.2,0.0,0.0
6037121222,68.70,98.94,95-100% (highest scores),5378,Los Angeles,17.3,76.3,6.4,88.1,5.2,1.1,0.1,4.9,0.0,0.5
6077002201,68.69,98.93,95-100% (highest scores),2815,San Joaquin,19.4,72.8,7.8,74.3,3.0,16.6,0.0,2.6,0.0,3.5
6037241001,68.66,98.92,95-100% (highest scores),4429,Los Angeles,13.2,79.4,7.5,69.5,0.0,28.4,0.0,0.2,0.2,1.8
6037433504,68.55,98.90,95-100% (highest scores),4932,Los Angeles,18.8,72.5,8.7,78.5,0.6,0.7,0.0,19.2,0.0,1.0
6037206032,68.54,98.89,95-100% (highest scores),5185,Los Angeles,10.2,71.9,17.9,70.0,11.6,2.2,1.0,15.0,0.0,0.2
6037402402,68.45,98.88,95-100% (highest scores),6557,Los Angeles,12.1,79.8,8.1,65.1,14.5,3.2,0.5,14.2,0.0,2.5
6037602900,68.35,98.87,95-100% (highest scores),4339,Los Angeles,13.3,77.9,8.8,74.5,4.1,14.5,0.0,4.2,0.0,2.7
6037294701,68.34,98.85,95-100% (highest scores),3229,Los Angeles,18.7,74.5,6.8,90.6,3.3,4.5,0.0,0.6,0.3,0.7
6037540901,68.14,98.84,95-100% (highest scores),4694,Los Angeles,13.6,70.9,15.5,70.0,3.6,24.5,0.6,0.9,0.1,0.2
6037205110,68.10,98.83,95-100% (highest scores),3861,Los Angeles,18.5,77.9,3.6,94.1,2.0,0.7,0.0,3.2,0.0,0.0
6037240200,68.05,98.81,95-100% (highest scores),5311,Los Angeles,14.7,78.8,6.5,74.8,0.2,23.5,0.0,1.5,0.0,0.0
6065042209,67.86,98.80,95-100% (highest scores),5032,Riverside ,15.2,79.6,5.2,50.0,20.2,10.7,1.3,15.1,0.0,2.7
6037241120,67.68,98.79,95-100% (highest scores),5137,Los Angeles,17.2,76.9,5.9,59.2,0.8,37.9,0.0,0.1,0.0,2.0
6037296210,67.63,98.78,95-100% (highest scores),3189,Los Angeles,18.6,73.9,7.5,83.4,5.2,7.4,0.0,0.4,0.0,3.6
6037570502,67.58,98.76,95-100% (highest scores),6502,Los Angeles,12.2,80.3,7.6,56.2,13.2,8.2,0.2,18.1,0.0,4.2
6071012500,67.56,98.75,95-100% (highest scores),5003,San Bernardino,19.9,68.4,11.7,90.8,7.7,1.4,0.0,0.0,0.0,0.0
6037241002,67.53,98.74,95-100% (highest scores),4065,Los Angeles,16.5,75.4,8.1,60.4,0.5,37.8,0.0,0.1,0.0,1.3
6037534102,67.52,98.73,95-100% (highest scores),6566,Los Angeles,19.8,74.9,5.3,96.9,1.8,0.8,0.2,0.3,0.0,0.0
6037536103,67.44,98.71,95-100% (highest scores),5447,Los Angeles,13.4,77.4,9.2,97.1,2.1,0.1,0.0,0.1,0.0,0.6
6037536102,67.41,98.70,95-100% (highest scores),3281,Los Angeles,12.4,70.0,17.6,75.8,21.9,1.4,0.0,0.0,0.5,0.4
6065030300,67.40,98.69,95-100% (highest scores),4247,Riverside ,7.7,80.7,11.5,57.2,29.1,9.2,0.2,1.6,0.0,2.8
6077000900,67.39,98.68,95-100% (highest scores),5813,San Joaquin,16.3,75.1,8.6,54.8,28.2,10.4,0.3,3.8,0.0,2.5
6029002100,67.36,98.66,95-100% (highest scores),3526,Kern ,21.8,70.4,7.7,89.8,4.3,5.9,0.0,0.0,0.0,0.1
6037204600,67.22,98.65,95-100% (highest scores),4121,Los Angeles,11.3,77.9,10.7,93.5,2.9,1.7,0.0,1.7,0.0,0.2
6077002300,67.12,98.64,95-100% (highest scores),4632,San Joaquin,18.5,72.4,9.1,81.6,3.2,3.5,0.0,10.1,0.0,1.5
6037541603,67.08,98.63,95-100% (highest scores),3159,Los Angeles,15.2,77.0,7.8,83.9,2.2,12.5,0.0,0.7,0.0,0.7
6037204700,67.07,98.61,95-100% (highest scores),5676,Los Angeles,15.0,76.1,8.9,96.0,2.4,0.5,0.0,1.1,0.0,0.0
6037532800,67.05,98.60,95-100% (highest scores),4334,Los Angeles,23.9,71.5,4.6,92.5,0.5,6.9,0.0,0.1,0.0,0.0
6073003601,67.02,98.59,95-100% (highest scores),2877,San Diego,18.4,75.5,6.1,86.1,2.6,11.1,0.0,0.0,0.0,0.2
6037540700,66.99,98.58,95-100% (highest scores),3281,Los Angeles,15.5,78.4,6.1,70.9,4.0,24.9,0.0,0.1,0.0,0.2
6037534203,66.96,98.56,95-100% (highest scores),3344,Los Angeles,16.0,73.4,10.6,97.4,1.9,0.2,0.0,0.5,0.0,0.0
6037185320,66.78,98.55,95-100% (highest scores),2970,Los Angeles,10.2,79.5,10.3,85.0,8.5,0.6,0.0,5.9,0.0,0.0
6037239701,66.74,98.54,95-100% (highest scores),5015,Los Angeles,22.5,72.4,5.1,81.7,0.0,18.3,0.0,0.0,0.0,0.0
6037570402,66.67,98.52,95-100% (highest scores),3509,Los Angeles,14.0,74.9,11.2,48.3,2.9,42.3,0.0,3.9,1.4,1.1
6077000600,66.65,98.51,95-100% (highest scores),1808,San Joaquin,16.7,78.3,5.0,82.7,3.8,3.6,0.0,9.0,0.0,0.9
6037602002,66.58,98.50,95-100% (highest scores),3012,Los Angeles,16.8,74.1,9.1,76.4,3.5,10.6,0.6,7.6,0.0,1.4
6037241400,66.54,98.49,95-100% (highest scores),3644,Los Angeles,20.1,74.0,5.9,69.7,0.3,22.8,0.2,1.3,0.0,5.7
6065030103,66.40,98.47,95-100% (highest scores),2228,Riverside ,21.8,69.3,9.0,65.2,29.8,0.8,0.1,3.2,0.0,0.9
6037240600,66.31,98.46,95-100% (highest scores),6325,Los Angeles,23.0,69.8,7.2,69.8,1.1,28.8,0.0,0.3,0.0,0.0
6037602801,66.26,98.45,95-100% (highest scores),3255,Los Angeles,18.2,74.8,7.0,64.8,0.6,32.0,0.0,0.0,0.0,2.6
6037219902,66.25,98.44,95-100% (highest scores),3799,Los Angeles,8.7,82.7,8.6,65.4,9.1,17.8,0.3,2.6,0.5,4.3
6037204810,66.16,98.42,95-100% (highest scores),5462,Los Angeles,12.5,78.5,9.1,96.7,0.0,2.1,0.2,0.5,0.0,0.5
