Census Tract ,CES 2.0 Score,CES 2.0 PR,Total Population,"California 
County",Hispanic (%),White (%),African American (%),Native American (%),Asian American (%),Other (%)
6001400100,12.12,16-20%,2937,Alameda ,4,70.8,4.8,0.1,15.8,4.7
6001400200,9.11,6-10%,1974,Alameda ,7.6,78.3,1.6,0.1,7.4,5
6001400300,11.80,16-20%,4865,Alameda ,8.2,66.9,10.5,0.2,8.7,5.5
6001400400,11.80,16-20%,3703,Alameda ,9,65.5,12.1,0.1,7.5,5.9
6001400500,17.91,31-35%,3517,Alameda ,9.7,50.6,26.5,0.5,6,6.8
6001400600,16.66,31-35%,1571,Alameda ,8,42.7,39.1,0.3,5.1,4.7
6001400700,27.47,56-60%,4206,Alameda ,10.4,29.5,49.2,0.3,6.3,4.3
6001400800,25.48,51-55%,3594,Alameda ,10.2,31.6,40.7,0.4,12.1,5
6001400900,21.17,41-45%,2302,Alameda ,13.3,31,43.7,0.3,5.8,6
6001401000,31.25,66-70%,5678,Alameda ,14.2,22.3,50.2,0.4,7.6,5.4
6001401100,24.35,51-55%,4156,Alameda ,12.6,46.5,23.5,0.5,10.8,6.3
6001401200,15.64,26-30%,2416,Alameda ,9.4,58.4,17.4,0.2,9.4,5.2
6001401300,37.92,76-80%,3528,Alameda ,13.8,26.4,35.6,0.3,19.4,4.5
6001401400,40.77,81-85%,4314,Alameda ,21.1,15.2,48.4,0.6,10,4.6
6001401500,33.22,66-70%,2630,Alameda ,15.4,20,52.9,0.1,7.6,3.9
6001401600,36.44,71-75%,2163,Alameda ,20.8,16.2,46.5,0.7,12,3.8
6001401700,38.66,76-80%,2667,Alameda ,25.6,25.9,33.1,0.4,10.2,4.6
6001401800,31.34,66-70%,1703,Alameda ,19.3,15,57.4,0.3,3.4,4.7
6001402200,32.71,66-70%,2385,Alameda ,30.2,16.3,36.4,0.3,11.5,5.4
6001402400,39.03,76-80%,2351,Alameda ,9.4,12.6,57.8,0.5,14.3,5.5
6001402500,41.01,81-85%,1784,Alameda ,4.5,8.1,66.8,0.4,16.5,3.6
6001402600,41.70,81-85%,1151,Alameda ,5.7,11.3,29.5,0.3,50.7,2.5
6001402700,38.76,76-80%,1569,Alameda ,15.5,12.7,56.2,0.1,10.3,5.3
6001402800,39.61,76-80%,3345,Alameda ,8.3,23.7,41.2,0.6,21.5,4.7
6001402900,33.59,66-70%,1434,Alameda ,9.6,23.5,20.2,0.1,43.3,3.4
6001403000,43.79,86-90%,2788,Alameda ,1.3,4.2,4.4,0.1,88.3,1.6
6001403100,30.44,61-65%,2238,Alameda ,14.3,18.2,30.3,0.2,33.8,3.1
6001403300,30.42,61-65%,4054,Alameda ,6,25.4,11.2,0.2,54,3.2
6001403400,29.72,61-65%,4146,Alameda ,9.3,32.6,19.7,0.3,32.7,5.3
6001403501,30.03,61-65%,4374,Alameda ,10.1,31.3,27.9,0.4,24,6.4
6001403502,15.59,26-30%,1991,Alameda ,12.2,44.2,26.6,0.4,11,5.8
6001403600,16.80,31-35%,4482,Alameda ,9.7,34.4,37.9,0.2,12.3,5.5
6001403701,11.50,16-20%,2587,Alameda ,9.1,49.7,21,0.4,13.8,5.9
6001403702,15.30,26-30%,1724,Alameda ,8.6,56.7,18.1,0.2,10,6.4
6001403800,8.53,6-10%,3461,Alameda ,8.4,62.9,9.7,0.2,13.5,5.4
6001403900,12.65,16-20%,3584,Alameda ,9,55.4,16,0.4,13.6,5.5
6001404000,11.70,16-20%,2819,Alameda ,10.8,57.3,14.2,0.2,11.6,5.8
6001404101,10.89,11-15%,2929,Alameda ,9.4,67.6,6.2,0.1,11.7,5.1
6001404102,19.45,36-40%,2283,Alameda ,6.5,67.5,8,0.2,13.4,4.4
6001404200,11.26,11-15%,3483,Alameda ,5.4,72.9,4.9,0.3,11.7,4.8
6001404300,9.17,6-10%,3218,Alameda ,5.3,73.7,4.4,0.1,11.6,4.9
6001404400,8.44,6-10%,5314,Alameda ,6.7,67.6,4.8,0.1,15.5,5.3
6001404501,10.91,11-15%,1677,Alameda ,5.8,72.2,4.3,0.1,11.7,5.9
6001404502,7.63,6-10%,5784,Alameda ,6,72.1,6.3,0.3,9.6,5.8
6001404600,6.64,1-5% (lowest scores),4353,Alameda ,5.5,73,6,0.1,10.3,5.1
6001404700,10.27,11-15%,1954,Alameda ,6,71.4,8,0.3,9.4,4.9
6001404800,14.78,21-25%,2684,Alameda ,11.5,45.5,19.7,0.6,17.2,5.6
6001404900,18.49,36-40%,4129,Alameda ,9.7,54,11.2,0,20,5.2
6001405000,13.05,16-20%,3136,Alameda ,7.3,65.6,9.6,0.2,12,5.2
6001405100,10.63,11-15%,4197,Alameda ,5.4,68,11.8,0.1,9.3,5.3
6001405200,22.33,46-50%,4597,Alameda ,9.4,38,15.2,0.2,31.2,6
6001405301,16.15,26-30%,2603,Alameda ,14.2,41.3,23.2,0.5,14.9,5.9
6001405302,31.01,61-65%,2530,Alameda ,14.6,23.4,19.3,0.4,38,4.3
6001405401,32.23,66-70%,3957,Alameda ,21,11.6,19.3,0.4,44.3,3.5
6001405402,32.54,66-70%,3114,Alameda ,19.7,8.8,23.1,0.1,45.8,2.4
6001405500,25.15,51-55%,3643,Alameda ,12.3,15.8,20.2,0.3,47.1,4.2
6001405600,27.67,56-60%,3137,Alameda ,13.1,20.8,22.6,0.3,38.5,4.7
6001405700,26.67,56-60%,3243,Alameda ,17.2,10.7,32.3,0.4,36,3.4
6001405800,25.58,51-55%,3965,Alameda ,18.4,6.2,19.4,0.4,53.4,2.4
6001405901,34.14,71-75%,3910,Alameda ,40,2.9,13.6,0.5,40.7,2.2
6001405902,33.17,66-70%,3035,Alameda ,23.2,5.8,14.2,0.2,53.7,3
6001406000,41.48,81-85%,3450,Alameda ,21.3,16.7,12.1,0.3,46.8,2.7
6001406100,40.60,81-85%,4381,Alameda ,57.7,16.3,10.5,0.7,12.6,2.2
6001406201,34.32,71-75%,4649,Alameda ,49.2,3.1,15.5,0.3,30.8,1.3
6001406202,32.81,66-70%,4718,Alameda ,65.5,5.6,11.9,1,14.5,1.6
6001406300,26.96,56-60%,4113,Alameda ,38.3,6.2,18.2,0.1,34.7,2.5
6001406400,36.99,76-80%,2145,Alameda ,17.3,24.6,27.5,0.5,27.1,3
6001406500,28.71,61-65%,5930,Alameda ,44,8.5,19.7,0.5,24.5,2.9
6001406601,25.15,51-55%,4596,Alameda ,23.4,12.1,26.7,0.5,33.5,3.8
6001406602,17.39,31-35%,2493,Alameda ,29.6,11.1,26,0.9,28.3,4
6001406700,14.66,21-25%,5048,Alameda ,8.8,49.5,13.6,0.5,22.5,5.2
6001406800,14.02,21-25%,3428,Alameda ,11.1,39.6,15.1,0.3,29.4,4.5
6001406900,17.62,31-35%,3719,Alameda ,12.7,35.8,21.8,0.4,22.9,6.4
6001407000,25.70,51-55%,5885,Alameda ,26.3,11.9,25.3,0.6,32.5,3.5
6001407101,28.07,56-60%,3414,Alameda ,56.1,6.6,15.1,0.3,19.3,2.6
6001407102,30.16,61-65%,4351,Alameda ,48.2,8.6,20.9,0.6,20,1.8
6001407200,37.58,76-80%,6746,Alameda ,74.8,6.4,6.7,0.6,10.5,1
6001407300,41.57,81-85%,2598,Alameda ,63.1,13.2,12.7,0.1,9.2,1.8
6001407400,35.23,71-75%,3954,Alameda ,64.9,3.4,19.9,0.3,9.9,1.7
6001407500,39.18,76-80%,3931,Alameda ,49.5,3.4,37.3,0.2,7.6,2
6001407600,30.63,61-65%,6027,Alameda ,34.8,11.4,35.3,0.6,13.8,4
6001407700,15.88,26-30%,4109,Alameda ,13.6,22.5,51,0.2,8.1,4.7
6001407800,18.76,36-40%,2425,Alameda ,17.5,33.7,32.5,0.4,10.3,5.6
6001407900,12.37,16-20%,2706,Alameda ,13.1,39.2,22.7,0.3,17.8,6.9
6001408000,9.48,6-10%,2671,Alameda ,9.6,51.8,12.8,0.3,19.8,5.7
6001408100,13.38,21-25%,5991,Alameda ,7.7,36.1,30.5,0.1,20.2,5.4
6001408200,15.90,26-30%,4054,Alameda ,20.2,16.9,52.9,0.2,5.3,4.5
6001408300,19.63,36-40%,4167,Alameda ,16.2,24,45,0.4,8.7,5.7
6001408400,22.98,46-50%,3323,Alameda ,37.9,3,51.2,0.5,5.2,2.2
6001408500,26.90,56-60%,4972,Alameda ,45.5,2,45.6,0.2,4.3,2.5
6001408600,28.94,61-65%,5492,Alameda ,45.1,2.3,45.1,0.2,5.1,2.2
6001408700,33.37,66-70%,7207,Alameda ,44.9,3.9,43.6,0.1,5.4,2
6001408800,54.06,96-100% (highest scores),5547,Alameda ,45.9,2.1,41.4,0.2,7.8,2.6
6001408900,38.95,76-80%,3414,Alameda ,59.4,2,31.9,0.4,4.2,2.1
6001409000,47.01,86-90%,3552,Alameda ,48.8,1.7,43.3,0.1,4.3,1.8
6001409100,38.89,76-80%,2255,Alameda ,51.8,1.6,41,0.1,3.7,1.8
6001409200,47.53,86-90%,3152,Alameda ,49.5,1.7,40.1,0.4,6.4,1.9
6001409300,40.27,81-85%,5229,Alameda ,60.1,2.8,31.4,0.2,3.5,1.8
6001409400,41.04,81-85%,4306,Alameda ,67.1,2.3,23.4,0.1,5.8,1.4
6001409500,39.53,76-80%,3122,Alameda ,67.8,2.3,24.4,0.4,3.6,1.5
6001409600,27.94,56-60%,5063,Alameda ,58.8,1.9,33.2,0.1,4.1,2
6001409700,22.88,46-50%,4696,Alameda ,39,2.7,49.1,0.3,6.6,2.3
6001409800,22.16,46-50%,2887,Alameda ,12.7,13.6,65.3,0.1,4.7,3.7
6001409900,16.20,26-30%,3308,Alameda ,8.1,26.8,53.1,0.2,7.6,4.3
6001410000,22.79,46-50%,2805,Alameda ,9.6,31,48.8,0.1,6.3,4.3
6001410100,24.92,51-55%,2406,Alameda ,17.7,9.7,61.6,0.6,6.5,3.9
6001410200,25.42,51-55%,3062,Alameda ,33.9,4.4,53.6,0.1,5.7,2.3
6001410300,32.18,66-70%,3536,Alameda ,61.8,1.9,28.1,0.4,5.9,1.8
6001410400,27.35,56-60%,3792,Alameda ,43.4,4.5,40.6,0.1,8.7,2.8
6001410500,40.82,81-85%,2193,Alameda ,9.1,7.1,62,0,17.1,4.6
6001420100,7.58,6-10%,2355,Alameda ,8.7,61.3,2.3,0,21.5,6.2
6001420200,12.70,16-20%,2898,Alameda ,11.4,46,3.1,0.2,32.4,7
6001420300,24.86,51-55%,4571,Alameda ,9.2,43.9,3.8,0.1,37.3,5.7
6001420400,26.63,56-60%,3124,Alameda ,13.6,27.8,3.8,0.9,48.9,5
6001420500,15.42,26-30%,2308,Alameda ,11.2,52.1,4.2,0.1,27.2,5.2
6001420600,15.07,26-30%,3283,Alameda ,7.6,69.5,2.7,0.1,14.6,5.4
6001421100,5.02,1-5% (lowest scores),1992,Alameda ,5,76.5,1.8,0,12,4.7
6001421200,4.64,1-5% (lowest scores),3563,Alameda ,5.4,79.7,2,0,8.4,4.4
6001421300,8.92,6-10%,3844,Alameda ,5.3,78.1,1.7,0.1,9.6,5.2
6001421400,6.55,1-5% (lowest scores),1593,Alameda ,3.9,82.3,1.8,0.1,7.9,4
6001421500,4.89,1-5% (lowest scores),3640,Alameda ,5.2,79.9,1.6,0.1,8.7,4.6
6001421600,6.80,1-5% (lowest scores),3558,Alameda ,5.3,77.2,1.6,0.1,10.4,5.5
6001421700,7.37,1-5% (lowest scores),3198,Alameda ,7.3,67.9,2.8,0.3,16.2,5.5
6001421800,12.83,16-20%,2007,Alameda ,5,76.1,2.7,0.3,10.9,5
6001421900,12.57,16-20%,3632,Alameda ,9.1,63.1,8,0.1,13.9,5.8
6001422000,29.41,61-65%,1756,Alameda ,12.6,43.3,28,0.2,10,5.9
6001422100,25.71,51-55%,2685,Alameda ,28.3,36.9,15.8,0.4,12.5,6.1
6001422200,22.47,46-50%,3144,Alameda ,11.4,55,12.5,0.1,15.7,5.3
6001422300,11.59,16-20%,3387,Alameda ,9.2,60.9,5.5,0.1,18.9,5.5
6001422400,11.27,11-15%,4196,Alameda ,8.2,50.5,4.4,0.1,32.3,4.5
6001422500,10.65,11-15%,4658,Alameda ,6.9,57.8,2.1,0.1,27.8,5.2
6001422600,NA,NA,1215,Alameda ,11.6,44.3,0.8,0.2,37.5,5.6
6001422700,16.68,31-35%,4885,Alameda ,10.2,52.6,2.3,0.2,29.2,5.4
6001422800,18.10,36-40%,8368,Alameda ,12.9,32.2,3.9,0.3,44.6,6.1
6001422900,19.44,36-40%,4336,Alameda ,11.2,37.1,8.6,0.2,37.1,5.8
6001423000,15.77,26-30%,4396,Alameda ,10.2,60.4,7.5,0.3,16.1,5.6
6001423100,26.41,56-60%,3964,Alameda ,16.2,47.8,17.5,0.4,13.4,5
6001423200,26.62,56-60%,2794,Alameda ,31.7,32,22.2,0.1,8.9,5.1
6001423300,22.46,46-50%,3647,Alameda ,14.9,36,33.8,0.3,9.1,5.9
6001423400,25.47,51-55%,4685,Alameda ,15.8,41.1,25.1,0.2,10.9,7
6001423500,14.76,21-25%,3118,Alameda ,8.2,50.8,19.1,0.3,15.8,5.8
6001423601,9.91,11-15%,2642,Alameda ,7.7,69.3,3.2,0.2,14.5,5.1
6001423602,15.16,26-30%,5659,Alameda ,8.9,42.8,2.5,0.2,40.5,5.2
6001423700,12.16,16-20%,3633,Alameda ,7.6,66,2.1,0.1,19.6,4.6
6001423800,8.41,6-10%,2925,Alameda ,4.4,83.9,1.6,0.2,6.2,3.8
6001423901,14.01,21-25%,2020,Alameda ,10.9,54.7,20.8,0.3,7.5,5.7
6001423902,11.31,11-15%,1552,Alameda ,8.6,72.4,3.4,0.3,9.8,5.6
6001424001,22.00,46-50%,3716,Alameda ,20.2,33.8,31.3,0.3,8.7,5.6
6001424002,29.52,61-65%,2172,Alameda ,17,27.9,41.7,0.7,7.5,5.1
6001425101,23.91,51-55%,1596,Alameda ,3.5,59,6,0,27,4.4
6001425102,22.14,46-50%,2807,Alameda ,7.4,35.1,14.8,0.2,37.8,4.8
6001425103,18.57,36-40%,2502,Alameda ,9.8,42,17.5,0.1,24.3,6.3
6001425104,28.71,61-65%,3175,Alameda ,13.2,34,24.7,0.3,21.2,6.7
6001426100,8.37,6-10%,5922,Alameda ,3.3,72.8,1.2,0.1,18,4.6
6001426200,9.77,11-15%,4745,Alameda ,4.8,70,1.3,0,18.3,5.6
6001427100,18.78,36-40%,3646,Alameda ,9.3,67.4,2.1,0.3,14.7,6.2
6001427200,19.68,36-40%,4107,Alameda ,14.4,39.4,5.3,0.6,34.7,5.6
6001427300,27.64,56-60%,4896,Alameda ,10.5,42.3,7.9,0.4,33.2,5.7
6001427600,23.80,51-55%,4722,Alameda ,13.6,23.1,15.7,0.4,40.6,6.6
6001427700,13.83,21-25%,4866,Alameda ,11.9,45.6,6.7,0.4,30,5.5
6001427800,16.04,26-30%,4640,Alameda ,11.8,51.9,4.4,0.3,25.2,6.4
6001427900,16.02,26-30%,4567,Alameda ,12.3,55.8,4.6,0.2,21.7,5.5
6001428000,24.23,51-55%,2928,Alameda ,17.9,35.1,7.5,0.3,32.9,6.3
6001428100,19.15,36-40%,4651,Alameda ,13.3,57.9,3.1,0.2,19.4,6
6001428200,14.93,26-30%,6259,Alameda ,9.9,54.1,3.6,0.2,26.2,6
6001428301,16.62,31-35%,6526,Alameda ,8.2,38.8,3.4,0.2,43,6.5
6001428302,12.64,16-20%,7074,Alameda ,5.4,44.2,2.4,0.1,43.4,4.5
6001428400,22.56,46-50%,4357,Alameda ,13.3,47.6,7.4,0.5,26.5,4.7
6001428500,16.99,31-35%,3183,Alameda ,9.3,45.6,6.7,0.3,31.2,6.8
6001428600,18.51,36-40%,3271,Alameda ,8.2,40.6,7.7,0.1,37.7,5.7
6001428700,32.54,66-70%,4119,Alameda ,12,34.8,14.2,1,31.2,6.7
6001430101,8.69,6-10%,6523,Alameda ,8,36.6,4.1,0.1,47,4.4
6001430102,7.77,6-10%,2285,Alameda ,10.2,67,2.8,0.4,14.8,4.8
6001430200,8.35,6-10%,6916,Alameda ,12.5,63.9,2.7,0.2,16.3,4.3
6001430300,11.12,11-15%,3670,Alameda ,12.6,65.4,2.8,0.2,15,4
6001430400,10.83,11-15%,2046,Alameda ,11.6,65.6,2.8,0.1,14.5,5.3
6001430500,17.95,31-35%,6049,Alameda ,23.2,35.4,21.3,0.3,15.7,4.1
6001430600,13.91,21-25%,5887,Alameda ,14,52.5,4.2,0.4,24.7,4.3
6001430700,12.51,16-20%,3814,Alameda ,16.8,56.9,2.6,0.4,17.8,5.4
6001430800,18.59,36-40%,5394,Alameda ,18.7,55.8,3.1,0.3,18.2,3.9
6001430900,16.58,31-35%,4681,Alameda ,26.9,42.2,8.8,0.5,16.5,5.1
6001431000,25.99,51-55%,2714,Alameda ,22.7,46.9,6.5,0.3,19.2,4.4
6001431100,22.39,46-50%,3225,Alameda ,27.8,40.4,13.8,0.2,12.8,5.1
6001431200,20.02,41-45%,5627,Alameda ,23.4,49.4,10.9,0.3,12.2,3.8
6001432100,17.77,31-35%,3770,Alameda ,22.8,45.5,13.9,0.4,12.5,5
6001432200,22.08,46-50%,4080,Alameda ,24.7,40.3,20.4,0.2,10.4,4.1
6001432300,28.72,61-65%,4656,Alameda ,35.5,21.6,10.6,0.5,28.4,3.2
6001432400,40.52,81-85%,5814,Alameda ,37.4,23.9,8,0.4,26.6,3.7
6001432501,43.39,81-85%,4839,Alameda ,36.4,19.9,5.7,0.3,35,2.7
6001432502,32.54,66-70%,4485,Alameda ,32.2,14,11.8,0.4,38.7,3
6001432600,31.17,66-70%,6842,Alameda ,30.2,26.1,19.5,0.5,20.4,3.3
6001432700,22.38,46-50%,2478,Alameda ,21.2,47.9,9.8,0.4,16.5,4
6001432800,21.39,41-45%,3729,Alameda ,20.5,41.5,11.6,0.1,22.4,4
6001433000,34.48,71-75%,3832,Alameda ,28.3,35.8,8.2,0.3,24,3.3
6001433102,23.18,46-50%,3989,Alameda ,28.6,21.9,9,0.1,37.9,2.6
6001433103,36.62,76-80%,3530,Alameda ,39.9,14.5,24.2,0.2,17.7,3.4
6001433104,26.08,56-60%,3760,Alameda ,33.1,25.4,23,0.5,14.3,3.7
6001433200,41.39,81-85%,6897,Alameda ,22.9,24.1,15.5,0.2,33.8,3.5
6001433300,29.36,61-65%,6834,Alameda ,25,27.3,3.7,0.3,40.1,3.6
6001433400,28.43,56-60%,6305,Alameda ,11.5,22.3,10.1,0.2,52.8,3.1
6001433500,17.00,31-35%,4352,Alameda ,24.1,32.3,4,0.2,36.5,2.9
6001433600,28.74,61-65%,5978,Alameda ,23.3,25.5,9.1,0.1,38.8,3.1
6001433700,24.21,51-55%,3182,Alameda ,45.6,22.6,11.3,0.8,15.3,4.4
6001433800,28.52,61-65%,7369,Alameda ,35.4,16.6,15.5,0.5,28.9,3
6001433900,25.85,51-55%,6599,Alameda ,47.4,9.9,26.8,0.3,12.6,3
6001434000,29.46,61-65%,4884,Alameda ,45.8,17,17.3,0.3,16.1,3.6
6001435102,10.15,11-15%,5179,Alameda ,15.3,36.3,17,0.1,25.2,6.1
6001435103,10.79,11-15%,6403,Alameda ,12.2,36.7,7.7,0.1,37.9,5.4
6001435104,23.34,46-50%,5216,Alameda ,35.9,16.8,19,0.3,23.5,4.6
6001435200,18.65,36-40%,4140,Alameda ,22,29.9,25.2,0.2,16.6,6.1
6001435300,21.19,41-45%,4479,Alameda ,32.1,27.3,22.7,0.6,12.9,4.4
6001435400,24.65,51-55%,4503,Alameda ,33.1,26.3,19.5,0.6,16.1,4.3
6001435500,26.05,56-60%,3725,Alameda ,41.8,28.2,12.9,0.7,12.4,4
6001435601,25.52,51-55%,4902,Alameda ,57.5,17.4,12.1,0.6,9,3.4
6001435602,19.97,41-45%,5329,Alameda ,52.5,23.8,9.9,0.4,11.2,2.3
6001435700,29.46,61-65%,4594,Alameda ,45,27,7.3,0.2,17.6,2.9
6001435800,23.34,46-50%,5382,Alameda ,37.9,29.8,4.6,0.3,24.3,3.1
6001435900,28.00,56-60%,5073,Alameda ,28.4,36.7,4.4,0.2,27.3,3.1
6001436000,16.55,31-35%,4557,Alameda ,40.1,36.9,3,0.4,16.4,3.2
6001436100,23.81,51-55%,5261,Alameda ,40.1,28,5.3,0.4,22.4,3.7
6001436200,37.48,76-80%,3827,Alameda ,54,16.7,15.5,0.4,10.1,3.2
6001436300,29.89,61-65%,7129,Alameda ,56.3,13.2,12.7,0.3,14.3,3.3
6001436401,16.42,26-30%,7042,Alameda ,28.6,37.1,14.7,0.6,14.1,4.9
6001436402,12.06,16-20%,2618,Alameda ,16.7,52.1,12.6,0.5,13.5,4.7
6001436500,23.93,51-55%,4583,Alameda ,36.4,18.6,17.3,0.5,22.5,4.8
6001436601,27.08,56-60%,6091,Alameda ,57.5,13.7,12,0.3,13.4,3.1
6001436602,26.92,56-60%,4571,Alameda ,44.3,11.1,16.3,0.3,22.2,5.8
6001436700,29.96,61-65%,3284,Alameda ,58.1,13.5,8.5,0.3,17.1,2.5
6001436800,23.91,51-55%,4027,Alameda ,45,15.9,13.6,0.4,21.3,3.8
6001436900,38.99,76-80%,6724,Alameda ,62.5,13,7.5,0.2,14.6,2.3
6001437000,20.47,41-45%,3473,Alameda ,31.6,23.6,9.1,1,29.7,5
6001437101,40.62,81-85%,6448,Alameda ,22.5,13.3,6.1,0.1,53.2,4.8
6001437102,26.13,56-60%,4251,Alameda ,31.8,12.7,9.8,0.4,40.9,4.4
6001437200,36.76,76-80%,6755,Alameda ,27.1,22.8,12,0.3,33.1,4.7
6001437300,31.00,61-65%,3111,Alameda ,35.4,16.5,13.4,0.5,28.8,5.4
6001437400,29.39,61-65%,3408,Alameda ,55.8,18.5,4.5,0.5,17.8,3
6001437500,25.36,51-55%,4528,Alameda ,59.7,10.9,8.2,0.2,17.3,3.7
6001437600,29.17,61-65%,3217,Alameda ,43.6,17.8,8.6,0.3,25.5,4.2
6001437701,20.36,41-45%,3649,Alameda ,55.4,8.4,15.6,0.4,15.8,4.5
6001437702,23.60,46-50%,4256,Alameda ,69.8,5.7,8.2,0.2,13.1,3.1
6001437800,20.01,41-45%,4621,Alameda ,37.6,16.9,7.9,0.2,33.4,4.1
6001437900,25.11,51-55%,2338,Alameda ,60.2,11.7,6.8,0.5,17.4,3.5
6001438000,12.22,16-20%,3283,Alameda ,32.7,32.7,8,0.2,21.6,4.8
6001438100,26.33,56-60%,7675,Alameda ,44.2,19.6,7.9,0.4,24.2,3.7
6001438201,22.90,46-50%,4540,Alameda ,51.5,16.3,6,0.5,22.4,3.4
6001438203,27.59,56-60%,3920,Alameda ,25,18.9,6.5,0.3,44.7,4.8
6001438204,25.42,51-55%,5368,Alameda ,29,23.4,8.7,0.1,33.7,5
6001438300,23.53,46-50%,3731,Alameda ,44.3,8.4,7.1,0.2,35.1,4.9
6001438400,25.14,51-55%,2331,Alameda ,32.7,24.6,5.1,0.5,33.3,3.7
6001440100,15.42,26-30%,2310,Alameda ,16.4,35.9,9.4,0.1,33.5,4.7
6001440200,18.21,36-40%,5989,Alameda ,74.3,6.1,3.5,0.3,14.4,1.4
6001440301,33.02,66-70%,7312,Alameda ,34.5,17.7,5.7,0.2,37.4,4.5
6001440304,15.85,26-30%,4674,Alameda ,12.8,12.4,6.2,0.3,62.7,5.6
6001440305,13.18,16-20%,3883,Alameda ,16.2,15.5,7.8,0.1,54.9,5.5
6001440306,17.83,31-35%,3841,Alameda ,11,8.4,9,0.1,66.2,5.3
6001440307,31.06,66-70%,4219,Alameda ,20.8,25.7,7,0.2,41.9,4.5
6001440308,23.54,46-50%,5883,Alameda ,32.3,15.4,4.9,0.2,42.8,4.4
6001440331,20.84,41-45%,3205,Alameda ,18.4,10.5,7.6,0.2,58,5.2
6001440332,14.37,21-25%,3310,Alameda ,6.3,8.3,3.6,0,77.4,4.5
6001440333,18.76,36-40%,2839,Alameda ,7.9,9.7,5.6,0,72.3,4.5
6001440334,17.63,31-35%,4016,Alameda ,16.4,13.4,7.4,0.2,56.9,5.9
6001440335,18.84,36-40%,6496,Alameda ,8.5,11.5,4.7,0.1,69.3,5.9
6001440336,19.76,36-40%,4459,Alameda ,23.9,18,8,0.2,45,4.8
6001441100,17.06,31-35%,4308,Alameda ,16.9,48.8,3.2,0.5,25.9,4.8
6001441200,18.78,36-40%,6816,Alameda ,16.7,43,2.4,0.3,32.4,5.3
6001441301,13.90,21-25%,3179,Alameda ,9.6,26.1,4.2,0.2,54.7,5.4
6001441302,15.40,26-30%,5553,Alameda ,15.5,33.9,3.7,0.2,40.9,5.9
6001441401,13.28,21-25%,6931,Alameda ,15.1,24.1,5.4,0.1,50.4,4.8
6001441402,15.95,26-30%,5233,Alameda ,11.2,26.6,3.4,0.1,51.3,7.5
6001441501,11.33,11-15%,6068,Alameda ,6.7,13.2,4.7,0.2,68,7.1
6001441503,25.30,51-55%,5389,Alameda ,4.2,9.9,1.7,0.2,80.6,3.5
6001441521,11.71,16-20%,5869,Alameda ,6,17.9,3.2,0.1,66.4,6.4
6001441522,14.38,21-25%,4980,Alameda ,13.9,17.8,5,0.1,58,5.1
6001441523,17.13,31-35%,4077,Alameda ,6.2,11.3,2.4,0.3,75.1,4.7
6001441524,19.39,36-40%,4010,Alameda ,4,10.7,2.2,0.2,79.3,3.6
6001441601,16.16,26-30%,4561,Alameda ,24.1,34.9,4,0.2,31.7,5.2
6001441602,18.57,36-40%,6802,Alameda ,24.7,27.2,5.5,0.2,37.2,5.3
6001441700,17.53,31-35%,7436,Alameda ,23,27.5,5.2,0.4,38.9,5
6001441800,17.32,31-35%,6786,Alameda ,15.8,33.9,3.6,0.2,42.1,4.4
6001441921,20.35,41-45%,3663,Alameda ,27,26.9,3.8,0.3,37.7,4.3
6001441923,21.02,41-45%,5605,Alameda ,17,18.9,4,0.4,54.5,5.1
6001441924,18.81,36-40%,7301,Alameda ,13.7,22,3.1,0.4,55.9,4.9
6001441925,11.14,11-15%,6159,Alameda ,8.3,21.7,4.4,0.2,59.1,6.3
6001441926,22.19,46-50%,4080,Alameda ,32.2,19.2,4.4,0.4,37.7,6.1
6001441927,16.70,31-35%,4103,Alameda ,11.8,20.4,5.5,0.1,57.6,4.6
6001442000,7.40,1-5% (lowest scores),3212,Alameda ,3.6,22,0.6,0,69.6,4.2
6001442100,10.14,11-15%,5166,Alameda ,2.7,20.6,0.7,0,73.9,2.2
6001442200,15.39,26-30%,6875,Alameda ,6.1,26.2,1.4,0.1,63.7,2.6
6001442301,21.00,41-45%,4388,Alameda ,19.8,32.1,3.6,0.3,40.4,3.8
6001442302,27.47,56-60%,4788,Alameda ,21.2,24.1,8,0.4,40.3,6
6001442400,19.73,36-40%,6253,Alameda ,28.8,31.1,3.1,0.2,33.3,3.6
6001442500,24.21,51-55%,7371,Alameda ,23.7,28.7,3.2,0.3,40.1,4
6001442601,14.94,26-30%,3844,Alameda ,18.8,44.1,1.7,0.2,31.6,3.6
6001442602,17.80,31-35%,5074,Alameda ,24.2,40.5,4.7,0.2,24.3,6.3
6001442700,16.95,31-35%,2873,Alameda ,16.8,53.3,1.6,0.2,22.4,5.6
6001442800,23.34,46-50%,2816,Alameda ,23.8,35.7,2.9,0.1,33.4,4.1
6001442900,23.97,51-55%,7194,Alameda ,19.1,33.5,3.2,0.3,38.7,5.1
6001443001,24.22,51-55%,2917,Alameda ,35.1,28.3,3,0.2,30.7,2.5
6001443002,23.37,46-50%,5918,Alameda ,23.1,29.2,2.7,0.3,41.1,3.7
6001443102,14.97,26-30%,4611,Alameda ,4.2,21.2,0.5,0.2,70.9,3
6001443103,12.12,16-20%,4029,Alameda ,2.4,13,0.8,0,81.5,2.3
6001443104,14.21,21-25%,5558,Alameda ,5.3,20.5,1.1,0.1,69.7,3.3
